threshold,precision,recall,f1_score,predicted_fraud_count
0.1,0.04510417125490023,0.9909677419354839,0.08628122849639792,68109
0.2,0.06511974407852933,0.9587096774193549,0.12195572334270297,45639
0.3,0.09182650321829414,0.9158064516129032,0.16691654172913542,30917
0.4,0.12828409200269464,0.86,0.22326438321748598,20782
0.5,0.1750462897023216,0.7929032258064516,0.28678100571695253,14042
0.6,0.2411732152739347,0.7029032258064516,0.3591264936135146,9035
0.7,0.3423982478554481,0.6051612903225806,0.4373470101410421,5479
0.8,0.48669695003244645,0.4838709677419355,0.4852798447104497,3082
0.9,0.7154213036565977,0.2903225806451613,0.4130335016062414,1258
