threshold,precision,recall,f1_score,predicted_fraud_count
0.1,0.04974873554619525,0.9867741935483871,0.09472201148802428,61489
0.2,0.07431704935273055,0.9574193548387097,0.13792782954202198,39937
0.3,0.10666114083339613,0.9132258064516129,0.19101275217596653,26542
0.4,0.14773353920811735,0.8641935483870967,0.25233116699632663,18134
0.5,0.20020863424811428,0.8048387096774193,0.32065287238144197,12462
0.6,0.2763702801461632,0.7319354838709677,0.40123784261715295,8210
0.7,0.3793103448275862,0.6351612903225806,0.4749728621396695,5191
0.8,0.5307615563684736,0.5148387096774194,0.5226788930735222,3007
0.9,0.7496296296296296,0.32645161290322583,0.4548314606741573,1350
