threshold,precision,recall,f1_score,predicted_fraud_count
0.1,0.04703488994600548,0.9919354838709677,0.08981117747564876,65377
0.2,0.06807839191383293,0.9603225806451613,0.1271434367592731,43729
0.3,0.09364085667215816,0.9167741935483871,0.16992526158445442,30350
0.4,0.1266287219530552,0.8683870967741936,0.22102713576090974,21259
0.5,0.1656564310930527,0.802258064516129,0.2746093965660023,15013
0.6,0.21348639783908932,0.7138709677419355,0.3286796376058221,10366
0.7,0.2781788713717401,0.6090322580645161,0.381915646808941,6787
0.8,0.3568238213399504,0.4638709677419355,0.40336605890603083,4030
0.9,0.5302491103202847,0.2403225806451613,0.33074361820199777,1405
