threshold,precision,recall,f1_score,predicted_fraud_count
0.1,0.04671406435147206,0.9919354838709677,0.08922612657052491,65826
0.2,0.0672678088367899,0.9625806451612903,0.12574799831437,44360
0.3,0.09317982242169968,0.9241935483870968,0.16929122226489793,30747
0.4,0.12472728960683284,0.8667741935483871,0.21807409812117032,21543
0.5,0.1634407191129191,0.8035483870967742,0.27163186303909276,15241
0.6,0.21115839243498818,0.7203225806451613,0.32658135283363804,10575
0.7,0.2716927453769559,0.6161290322580645,0.3770977295162882,7030
0.8,0.3435885392202912,0.47193548387096773,0.397662408263115,4258
0.9,0.4983004758667573,0.2364516129032258,0.32071756727193174,1471
